[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429275943, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429276406, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429276453, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429276814, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429277204, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429277732, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429278129, student=Anonimo, exam=99)
[keyboard] TAB (code=9, x=0, y=0, time=1763429278596, student=Anonimo, exam=99)
[keyboard] TAB (code=9, x=0, y=0, time=1763429279033, student=Anonimo, exam=99)
[keyboard] TAB (code=9, x=0, y=0, time=1763429279499, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429279998, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429280491, student=Anonimo, exam=99)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763429285320, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429747863, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429748144, student=Anonimo, exam=99)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763429748478, student=Anonimo, exam=99)
