[mouse] MOUSE_DOWN (code=0, x=536, y=194, time=1763079070706, student=quero quero, exam=115)
[keyboard] q (code=113, x=0, y=0, time=1763079071200, student=quero quero, exam=115)
[mouse] MOUSE_DOWN (code=0, x=536, y=194, time=1763079071667, student=quero quero, exam=115)
[keyboard] ALT (code=65536, x=0, y=0, time=1763079072111, student=quero quero, exam=115)
[focus] FOCUS_LOST (code=0, x=0, y=0, time=1763079072272, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079073058, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079073072, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079073073, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079073074, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079073075, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079073076, student=quero quero, exam=115)
[focus] FOCUS_GAINED (code=0, x=0, y=0, time=1763079073076, student=quero quero, exam=115)
